x,y,z,gt
-6.544754,-2.9693909,6.880844,bike
-9.889175,-0.36764526,5.5883026,bike
-7.437393,-2.8646545,6.2667084,bike
-15.023636,-3.335968,5.795395,bike
-5.4878693,-2.1267395,6.4857025,bike
-5.840164,-2.8836975,6.4095306,bike
-7.601639,-2.3171692,6.4095306,bike
-5.030838,-3.426422,7.3331146,bike
-5.923477,-3.143158,6.8118134,bike
-8.456192,-2.1648254,5.136032,bike
-7.570694,-1.7268372,5.900131,bike
-7.687332,-3.1003113,6.3381195,bike
-5.2902985,-3.3669128,5.916794,bike
-0.4771881,-3.7430115,5.9215546,bike
-7.9206085,-2.8694153,6.835617,bike
-7.8753815,-3.328827,6.816574,bike
-5.9546814,3.0557709,5.6376953,bike
-7.892044,-1.3769226,8.121017,bike
-8.306229,-1.8529968,6.592819,bike
-8.930145,2.5416107,5.1259155,bike
-7.468338,-1.2888489,6.8046722,bike
-8.442169,1.5966034,6.720764,bike
-8.484756,-0.8580017,6.4738007,bike
-8.31337,-2.1695862,5.455002,bike
-9.02034,-1.6697083,6.250046,bike
-6.2781525,-3.1955261,5.995346,bike
-6.699478,-3.207428,6.3190765,bike
-7.620941,-0.04347229,5.2020874,bike
-3.6335602,-4.3452454,8.142441,bike
-6.385269,-4.44046,7.0260468,bike
-5.273636,-2.1672058,6.7999115,bike
-5.8425446,-3.5740051,6.552353,bike
-9.253616,-1.8149109,7.1403046,bike
-4.735672,-2.8051453,6.4785614,bike
-5.390274,-2.9598694,6.6332855,bike
-8.198345,-0.635062,6.498462,bike
-11.13887,-1.6221008,7.168869,bike
-4.607132,-0.86990356,6.695175,bike
-5.9880066,3.2985687,6.7540894,bike
-9.482132,-3.971527,5.4002533,bike
-8.308609,-4.061981,6.128647,bike
-6.3757477,-1.2602844,6.0619965,bike
-6.1258087,-2.2886047,5.4907074,bike
-6.8684845,-3.1526794,5.723984,bike
-7.8027034,-0.9816227,6.5565214,bike
-7.6114197,1.1847992,6.4803467,bike
-8.402451,-1.5185224,5.228338,bike
-9.120316,-3.1217346,7.2164764,bike
-8.82991,-2.9527283,6.3262177,bike
-9.099152,1.4537811,5.8709717,bike
-9.048904,-2.3766785,5.8001556,bike
-7.6280823,4.0745697,4.230896,bike
-5.2593536,-3.8144226,5.2550507,bike
-5.318863,-2.32193,5.647812,bike
-8.130081,-2.9551086,6.2548065,bike
-7.6325836,-2.5956726,5.3621674,bike
-8.139603,-2.0934143,5.540695,bike
-6.6616516,1.8608246,7.599121,bike
-7.287689,2.574936,6.5493774,bike
-7.4088287,-2.0196228,6.333359,bike
-6.45932,3.4271088,6.5041504,bike
-6.8020935,2.3297577,5.4448853,bike
-10.412857,-2.200531,6.0929413,bike
-5.8877716,-0.5961609,6.378586,bike
-9.9153595,-3.5192566,5.669235,bike
-6.980295,0.29927522,5.78499,bike
-7.785187,0.6396942,5.5234375,bike
-10.329544,-2.6408997,3.7863617,bike
-5.492897,-4.4322658,3.2932243,bike
-9.6844635,-1.9791565,5.114609,bike
-11.312897,3.710373,7.558655,bike
-2.9194489,-1.8434753,4.205307,bike
-11.698257,-2.719452,3.8887177,bike
-7.54451,-2.6575623,5.578781,bike
-6.83992,-1.7506409,6.131027,bike
-7.3231354,-4.035797,5.4716644,bike
-7.6524673,-0.57041854,5.999271,bike
-10.339325,2.2202606,4.038086,bike
-7.4635773,-3.4216614,6.0572357,bike
-7.249344,-3.0550842,6.309555,bike
-9.294342,2.0964813,6.347046,bike
-7.749222,-2.4718933,5.450241,bike
-5.1808014,-3.5882874,6.2214813,bike
-6.4114532,-3.0717468,5.8382416,bike
-8.83017,2.1488495,5.8114624,bike
-12.117462,2.6749115,0.3675537,bike
-8.660904,-5.1164856,4.788498,bike
-9.798981,3.1747894,1.7196045,bike
-7.8491974,-2.6647034,5.4264374,bike
-7.1684113,-2.8003845,6.161972,bike
-7.9446716,2.351181,6.6469727,bike
-8.686762,-1.365892,6.669647,bike
-9.846329,-2.1719666,8.325729,bike
-7.41597,-2.9741516,5.912033,bike
-5.095108,-2.6599426,7.199814,bike
-6.4757233,-3.0622253,5.8191986,bike
-5.511673,-3.4430847,4.5457,bike
-7.830414,-1.6692657,-0.85357666,bike
-7.8542175,3.4247284,5.2615967,bike
-7.632843,1.6703949,7.1063843,bike
-6.140091,-0.48428345,6.7046967,bike
-8.021174,-0.52253455,5.6185927,bike
-7.435013,-2.2409973,7.1974335,bike
-10.265274,-2.4100037,6.540451,bike
-9.2417145,-2.1005554,6.4095306,bike
-8.977753,2.158371,5.4282227,bike
-6.6606693,-1.4287399,7.7853456,bike
-9.59877,-2.4647522,5.488327,bike
-7.99942,2.9843597,6.4851074,bike
-9.682083,-3.2550354,6.0881805,bike
-8.499416,-0.6793547,7.03177,bike
-6.7209015,-3.1122131,6.7308807,bike
-7.070816,-1.6792297,5.3645477,bike
-8.815887,2.7772675,5.756714,bike
-6.5209503,-1.2483826,5.2479095,bike
-5.9546814,1.5704193,5.547241,bike
-8.05629,-2.2338562,7.328354,bike
-8.018463,2.3559418,5.204468,bike
-7.337677,0.32310486,5.416321,bike
-5.4878693,-2.2481384,5.8191986,bike
-7.8444366,-2.9812927,6.0572357,bike
-7.583634,0.7799112,4.8309007,bike
-12.946646,-2.1637597,5.4007206,bike
-3.138443,-1.7792053,4.583786,bike
-11.729202,-2.1338806,5.962021,bike
-6.628067,-1.9125061,6.5832977,bike
-9.59877,-3.2502747,6.526169,bike
-7.2660065,0.62020874,5.931076,bike
-6.8973083,2.363083,6.297058,bike
-6.5399933,-2.8313293,6.8784637,bike
-7.230301,-3.9786682,7.418808,bike
-5.9758453,-1.3221741,6.9832,bike
-8.525223,-3.559723,8.616135,bike
-7.068282,-2.31639,7.5866265,bike
-3.7906647,-0.9413147,6.2357635,bike
-4.8335266,3.9555511,6.3898926,bike
-9.736832,0.27505493,4.762314,bike
-7.665635,-0.59256494,6.155493,bike
-5.1498566,-2.3909607,5.769211,bike
-7.0303497,-2.6575623,6.859421,bike
-7.8027034,-4.0863037,6.8683662,bike
-8.111038,-3.105072,5.8644257,bike
-8.663284,-1.5197449,5.6263885,bike
-7.9422913,2.972458,4.5546265,bike
-8.2348175,-1.9624939,5.835861,bike
-7.582596,-1.7530212,6.797531,bike
-5.68808,1.8846283,6.5303345,bike
-5.8094788,4.1436005,7.9299927,bike
-8.437149,-1.6054382,5.200302,bike
-7.839676,-2.2719421,6.4714203,bike
-5.287918,-2.2409973,5.4978485,bike
-7.4921417,-2.2814636,6.5999603,bike
-6.6328278,-2.540924,6.166733,bike
-9.939423,1.6204071,4.6903076,bike
-3.9884949,2.5320892,6.2851563,bike
